,altname
SPELL/USD,SPELLUSD
SRM/EUR,SRMEUR
SRM/GBP,SRMGBP
SRM/USD,SRMUSD
SRM/XBT,SRMXBT
STEP/EUR,STEPEUR
STEP/USD,STEPUSD
STG/EUR,STGEUR
STG/USD,STGUSD
STORJ/ETH,STORJETH
STORJ/EUR,STORJEUR
STORJ/USD,STORJUSD
STORJ/XBT,STORJXBT
STX/EUR,STXEUR
STX/USD,STXUSD
SUPER/EUR,SUPEREUR
SUPER/USD,SUPERUSD
SUSHI/EUR,SUSHIEUR
SUSHI/GBP,SUSHIGBP
SUSHI/USD,SUSHIUSD
SUSHI/XBT,SUSHIXBT
SYN/EUR,SYNEUR
SYN/USD,SYNUSD
TBTC/ETH,TBTCETH
TBTC/EUR,TBTCEUR
TBTC/USD,TBTCUSD
TBTC/XBT,TBTCXBT
TEER/EUR,TEEREUR
TEER/USD,TEERUSD
T/EUR,TEUR
TLM/EUR,TLMEUR
TLM/USD,TLMUSD
TOKE/EUR,TOKEEUR
TOKE/USD,TOKEUSD
TRIBE/EUR,TRIBEEUR
TRIBE/USD,TRIBEUSD
TRU/EUR,TRUEUR
TRU/USD,TRUUSD
TRX/ETH,TRXETH
TRX/EUR,TRXEUR
TRX/USD,TRXUSD
TRX/XBT,TRXXBT
T/USD,TUSD
TVK/EUR,TVKEUR
TVK/USD,TVKUSD
UMA/EUR,UMAEUR
UMA/USD,UMAUSD
UNFI/EUR,UNFIEUR
UNFI/USD,UNFIUSD
UNI/ETH,UNIETH
UNI/EUR,UNIEUR
UNI/USD,UNIUSD
UNI/XBT,UNIXBT
USD/AED,USDAED
USDC/AUD,USDCAUD
USDC/CAD,USDCCAD
USDC/CHF,USDCCHF
USDC/EUR,USDCEUR
USDC/GBP,USDCGBP
USD/CHF,USDCHF
USDC/USD,USDCUSD
USDC/USDT,USDCUSDT
USDT/AUD,USDTAUD
USDT/CAD,USDTCAD
USDT/CHF,USDTCHF
USDT/EUR,USDTEUR
USDT/GBP,USDTGBP
USDT/JPY,USDTJPY
USDT/USD,USDTUSD
UST/EUR,USTEUR
UST/USD,USTUSD
UST/USDC,USTUSDC
UST/USDT,USTUSDT
WAVES/ETH,WAVESETH
WAVES/EUR,WAVESEUR
WAVES/USD,WAVESUSD
WAVES/XBT,WAVESXBT
WBTC/EUR,WBTCEUR
WBTC/USD,WBTCUSD
WBTC/XBT,WBTCXBT
WOO/EUR,WOOEUR
WOO/USD,WOOUSD
XBT/AED,XBTAED
XBT/AUD,XBTAUD
XBT/CHF,XBTCHF
XBT/DAI,XBTDAI
XBT/USDC,XBTUSDC
XBT/USDT,XBTUSDT
